run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
1515,cometbft,0,60000,40,128,88,,1084,138704,1498,1220,156128,22215,1
1516,cometbft,0,60000,40,128,73,,1498,191762,806,1842,235713,35548,1
1517,cometbft,0,60000,40,128,95,,1329,170112,2150,1514,193790,35603,1
1518,cometbft,0,60000,40,128,77,,1203,153991,2053,1335,170886,19515,3
1519,cometbft,0,60000,40,128,95,,1590,203558,3078,1733,221778,34816,3
1520,cometbft,0,60000,40,128,77,,1501,192097,822,1711,219025,54378,3
1521,cometbft,0,60000,40,128,92,,988,126405,1534,1123,143725,22917,4
1522,cometbft,0,60000,40,128,86,,1988,254468,2002,2015,257941,35830,4
1523,cometbft,0,60000,40,128,97,,1278,163589,1921,1412,180776,36275,4
1524,cometbft,0,60000,40,128,83,,1162,148686,2388,1275,163178,27952,5
1525,cometbft,0,60000,40,128,89,,1674,214274,5187,1841,235695,34901,5
1526,cometbft,0,60000,40,128,78,,1502,192263,1324,1765,225869,38182,5
1527,cometbft,0,60000,40,128,90,,1090,139494,2402,1221,156330,30209,6
1528,cometbft,0,60000,40,128,95,,1524,195015,1435,1762,225532,31479,6
1529,cometbft,0,60000,40,128,82,,1873,239685,1455,2016,258090,35321,6
1581,cometbft,0,60000,40,128,93,,1012,129552,1559,1113,142403,21975,1
1582,cometbft,0,60000,40,128,76,,1339,171346,1285,1418,181511,37195,1
1583,cometbft,0,60000,40,128,101,,1222,156385,2695,1376,176134,36957,1
1584,cometbft,0,60000,40,128,74,,950,121622,1636,1045,133802,5094,2
1585,cometbft,0,60000,40,128,80,,1211,154949,1909,1340,171536,23429,3
1586,cometbft,0,60000,40,128,92,,1352,173064,1454,1502,192192,31838,3
1587,cometbft,0,60000,40,128,82,,1536,196585,1778,1675,214432,35032,3
1588,cometbft,0,60000,40,128,82,,1171,149917,3511,1260,161239,24979,4
1589,cometbft,0,60000,40,128,67,,2147,274803,2797,2481,317525,40047,4
1590,cometbft,0,60000,40,128,89,,1067,136620,2066,1173,150129,26026,5
1591,cometbft,0,60000,40,128,94,,1612,206328,1524,1814,232172,32091,5
1592,cometbft,0,60000,40,128,85,,1592,203733,2376,1541,197227,34328,5
