run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
1538,cometbft,0,60032,64,128,95,,274,35019,1457,356,45606,0,1
1539,cometbft,0,60032,64,128,67,,404,51704,1528,502,64204,0,2
1540,cometbft,0,60032,64,128,66,,389,49756,3684,541,69269,0,3
1541,cometbft,0,60032,64,128,66,,416,53207,2775,525,67145,51661,3
1542,cometbft,0,60032,64,128,74,,375,47974,1634,453,57976,0,4
1543,cometbft,0,60032,64,128,48,,560,71736,6109,758,96966,57532,4
1544,cometbft,0,60032,64,128,62,,425,54379,1777,543,69467,0,5
1545,cometbft,0,60032,64,128,50,,503,64350,8564,649,83129,2072,5
1546,cometbft,0,60032,64,128,75,,373,47742,3052,460,58909,0,6
1547,cometbft,0,60032,64,128,81,,382,48834,2412,450,57663,53207,6
1600,cometbft,0.0,60032.0,64.0,128.0,95.0,,305.0,39093.0,2054.0,404.0,51695.0,2296.0,1
1601,cometbft,0.0,60032.0,64.0,128.0,58.0,,470.0,60215.0,3046.0,594.0,76014.0,0.0,2
1602,cometbft,0.0,60032.0,64.0,128.0,82.0,,337.0,43159.0,2482.0,453.0,58048.0,1797.0,3
1603,cometbft,0.0,60032.0,64.0,128.0,13.0,,173.0,22124.0,2062.0,396.0,50642.0,41503.0,3
1604,cometbft,0.0,60032.0,64.0,128.0,88.0,,320.0,40901.0,1294.0,394.0,50424.0,0.0,4
1605,cometbft,0.0,60032.0,64.0,128.0,76.0,,393.0,50248.0,1436.0,475.0,60747.0,1877.0,4
1606,cometbft,0.0,60032.0,64.0,128.0,66.0,,439.0,56195.0,2072.0,533.0,68161.0,1132.0,5
1607,cometbft,0.0,60032.0,64.0,128.0,92.0,,334.0,42763.0,2493.0,391.0,50106.0,48564.0,5
1608,cometbft,0.0,60032.0,64.0,128.0,95.0,,343.0,43858.0,2476.0,398.0,50904.0,1741.0,6
1609,cometbft,0.0,60032.0,64.0,128.0,89.0,,718.0,91948.0,1548.0,800.0,102456.0,2036.0,6
